Method,Budget,Mean Δ log loss,Material harm,Estimable,Material-positive task–model cells / 10,Worst task–model median,LOTO expected direction retained / 10,scientific_source
Intercept MLE,25,-0.0001,43.1%,97.7%,4,-0.0120,5,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Intercept MLE,50,+0.0040,30.4%,99.8%,5,-0.0050,9,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Intercept MLE,100,+0.0067,15.0%,100.0%,6,-0.0026,10,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Intercept MLE,250,+0.0082,4.2%,100.0%,6,-0.0010,10,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Intercept MLE,500,+0.0088,1.0%,100.0%,7,-0.0006,10,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Jeffreys intercept,25,+0.0003,43.6%,100.0%,5,-0.0116,6,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Jeffreys intercept,50,+0.0044,29.4%,100.0%,5,-0.0050,10,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Jeffreys intercept,100,+0.0067,14.3%,100.0%,6,-0.0026,10,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Jeffreys intercept,250,+0.0081,4.3%,100.0%,7,-0.0010,10,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Jeffreys intercept,500,+0.0087,1.0%,100.0%,7,-0.0006,10,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Sigmoid,25,-0.0255,74.0%,97.7%,0,-0.0400,10,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Sigmoid,50,-0.0061,57.3%,99.8%,2,-0.0149,10,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Sigmoid,100,+0.0025,33.5%,100.0%,4,-0.0052,8,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Sigmoid,250,+0.0069,8.9%,100.0%,5,-0.0012,10,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Sigmoid,500,+0.0085,1.7%,100.0%,6,-0.0004,10,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Isotonic,25,-0.4218,99.7%,64.5%,0,-0.5634,10,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Isotonic,50,-0.2595,98.3%,87.3%,0,-0.3456,10,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Isotonic,100,-0.1365,95.1%,98.3%,0,-0.1733,10,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Isotonic,250,-0.0477,86.5%,100.0%,0,-0.0702,10,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
Isotonic,500,-0.0172,73.2%,100.0%,2,-0.0342,10,results/stage2ds/H2_EVIDENCE_STRENGTH.csv; manuscript/source_data/figure3_common5_heterogeneity.csv
